wl;motor_pos
801.2312724;11.9800 
800.9504313;11.9932 
800.711868;12.0064 
800.4457062;12.0195 
800.1715107;12.0327 
799.9114393;12.0459 
799.6339954;12.0591 
799.3540927;12.0723 
799.0795473;12.0855 
798.7942261;12.0986 
798.5623647;12.1118 
798.2890801;12.1250 
798.0307305;12.1382 
797.7854436;12.1514 
797.524598;12.1646 
797.2632602;12.1777 
797.0273575;12.1909 
796.7654435;12.2041 
796.4945607;12.2173 
796.2504316;12.2305 
795.9520599;12.2436 
795.7003297;12.2568 
795.4071695;12.2700 
795.1407345;12.2832 
794.9179462;12.2964 
794.6243891;12.3096 
794.371376;12.3227 
794.0969381;12.3359 
793.8367235;12.3491 
793.5961756;12.3623 
793.3316849;12.3755 
793.0730165;12.3887 
792.8484441;12.4018 
792.585973;12.4150 
792.3082231;12.4282 
792.0282588;12.4414 
791.7536508;12.4546 
791.4812071;12.4677 
791.2053322;12.4809 
790.9721959;12.4941 
790.6939576;12.5073 
790.4356928;12.5205 
790.1980109;12.5337 
789.9245939;12.5468 
789.6825119;12.5600 
789.4163535;12.5732 
789.1502897;12.5864 
788.9070178;12.5996 
788.6171918;12.6128 
788.3843968;12.6259 
788.0758489;12.6391 
787.8031668;12.6523 
787.5461582;12.6655 
787.2668156;12.6787 
787.0396244;12.6919 
786.7517335;12.7050 
786.5178696;12.7182 
786.2598552;12.7314 
785.9953744;12.7446 
785.7535304;12.7578 
785.5068967;12.7709 
785.2276287;12.7841 
784.9935232;12.7973 
784.7272812;12.8105 
784.4560193;12.8237 
784.1787988;12.8369 
783.9153593;12.8500 
783.6709917;12.8632 
783.396374;12.8764 
783.1498725;12.8896 
782.8848804;12.9028 
782.6561624;12.9160 
782.3996679;12.9291 
782.1361763;12.9423 
781.8896587;12.9555 
781.6649921;12.9687 
781.3986279;12.9819 
781.1472917;12.9951 
780.8610492;13.0082 
780.6061432;13.0214 
780.3477481;13.0346 
780.0905036;13.0478 
779.83916;13.0610 
779.5837901;13.0741 
779.3572486;13.0873 
779.104717;13.1005 
778.844246;13.1137 
778.612744;13.1269 
778.3729281;13.1401 
778.1059994;13.1532 
777.8677806;13.1664 
777.6345145;13.1796 
777.3532713;13.1928 
777.1175151;13.2060 
776.8466909;13.2192 
776.5712546;13.2323 
776.3308394;13.2455 
776.0804202;13.2587 
775.8307329;13.2719 
775.5823735;13.2851 
775.3660014;13.2983 
775.1061831;13.3114 
774.84697;13.3246 
774.5892878;13.3378 
774.3862366;13.3510 
774.1219479;13.3642 
773.8744983;13.3773 
773.6108261;13.3905 
773.3498256;13.4037 
773.0960329;13.4169 
772.8371269;13.4301 
772.5971705;13.4433 
772.3531014;13.4564 
772.1150474;13.4696 
771.8750789;13.4828 
771.6179666;13.4960 
771.3667781;13.5092 
771.1185386;13.5224 
770.8673965;13.5355 
770.6405839;13.5487 
770.37799;13.5619 
770.1353424;13.5751 
769.8506307;13.5883 
769.5855616;13.6015 
769.3323951;13.6146 
769.1111602;13.6278 
768.8595636;13.6410 
768.6065029;13.6542 
768.3611523;13.6674 
768.1020163;13.6805 
767.8524918;13.6937 
767.6473469;13.7069 
767.3768701;13.7201 
767.1317864;13.7333 
766.8898814;13.7465 
766.6301914;13.7596 
766.3744209;13.7728 
766.1277806;13.7860 
765.865468;13.7992 
765.5992041;13.8124 
765.3811888;13.8256 
765.1317617;13.8387 
764.8792225;13.8519 
764.6309921;13.8651 
764.4177129;13.8783 
764.1235797;13.8915 
763.9288267;13.9047 
763.7135807;13.9178 
763.4319541;13.9310 
763.16851;13.9442 
762.9591848;13.9574 
762.7157617;13.9706 
762.4549607;13.9837 
762.1994168;13.9969 
762.0085697;14.0101 
761.724333;14.0233 
761.5141147;14.0365 
761.2701216;14.0497 
761.0322787;14.0628 
760.8049667;14.0760 
760.5652174;14.0892 
760.3064682;14.1024 
760.1182304;14.1156 
759.8445473;14.1288 
759.6254839;14.1419 
759.3419707;14.1551 
759.0989088;14.1683 
758.8521815;14.1815 
758.6204151;14.1947 
758.4045531;14.2079 
758.1964066;14.2210 
757.9492067;14.2342 
757.7026664;14.2474 
757.4750179;14.2606 
757.2298311;14.2738 
757.0162785;14.2869 
756.7832477;14.3001 
756.5295571;14.3133 
756.2847504;14.3265 
756.0448964;14.3397 
755.7903261;14.3529 
755.5931636;14.3660 
755.3313619;14.3792 
755.1031803;14.3924 
